Filename,lemma_ttr,lemma_mattr,lexical_density_tokens,lexical_density_types,syn_overlap_sent_noun,syn_overlap_sent_verb,syn_overlap_para_noun,syn_overlap_para_verb,sdi_noun,sdi_verb
CNN_DailyMail_Entry_91.txt,0.5284090909090909,0.7839370078740152,0.5454545454545454,0.6989247311827957,0.8333333333333334,0.0,1.3333333333333333,0.0,0.6004901960784313,0.6474576271186441
CNN_DailyMail_Entry_19.txt,0.45261984392419174,0.8217924528301883,0.5384615384615384,0.8251231527093597,0.44680851063829785,0.0851063829787234,2.5,1.0,0.6701782820097245,0.5318379160636758
CNN_DailyMail_Entry_85.txt,0.45685279187817257,0.7328378378378385,0.5634517766497462,0.6666666666666666,1.0833333333333333,0.4166666666666667,2.3333333333333335,0.6666666666666666,0.4474327628361858,0.5074074074074074
CNN_DailyMail_Entry_100.txt,0.42857142857142855,0.7570695970695979,0.484472049689441,0.717391304347826,0.5,0.14285714285714285,1.3333333333333333,1.6666666666666667,0.7841269841269841,0.5026178010471204
CNN_DailyMail_Entry_111.txt,0.3913894324853229,0.7924768756423426,0.5420743639921722,0.81,1.0357142857142858,0.30357142857142855,2.0,0.0,0.5892501658925017,0.41370808678500987
CNN_DailyMail_Entry_48.txt,0.39412811387900354,0.7922604651162783,0.5569395017793595,0.8171557562076749,0.8148148148148148,0.46296296296296297,5.0,6.0,0.49027946537059536,0.42135416666666664
CNN_DailyMail_Entry_46.txt,0.5625,0.8321465968586392,0.6875,0.8,1.0,0.15384615384615385,6.5,1.5,0.6201298701298701,0.8167330677290837
CNN_DailyMail_Entry_51.txt,0.33692458374143,0.7487037037037056,0.5034280117531832,0.7790697674418605,1.0909090909090908,0.5,3.5,0.5,0.45272206303724927,0.4408
CNN_DailyMail_Entry_77.txt,0.494949494949495,0.8151612903225811,0.5757575757575758,0.7482993197278912,1.9333333333333333,0.4,3.3333333333333335,0.6666666666666666,0.5418502202643172,0.7291666666666666
CNN_DailyMail_Entry_90.txt,0.48360655737704916,0.7693375394321768,0.49453551912568305,0.7005649717514124,0.9166666666666666,0.125,3.5,0.0,0.6238938053097345,0.6116504854368932
CNN_DailyMail_Entry_62.txt,0.34829833454018827,0.7806156156156123,0.5220854453294714,0.817047817047817,0.8529411764705882,0.39705882352941174,10.0,1.0,0.4525089605734767,0.3146551724137931
CNN_DailyMail_Entry_110.txt,0.481216457960644,0.8136078431372538,0.5760286225402504,0.7992565055762082,1.8421052631578947,0.3684210526315789,5.5,1.0,0.5711382113821138,0.7303370786516854
CNN_DailyMail_Entry_30.txt,0.43555555555555553,0.7991054313099037,0.5170370370370371,0.7925170068027211,0.25,0.22916666666666666,4.5,0.5,0.645877378435518,0.5284280936454849
CNN_DailyMail_Entry_5.txt,0.4380952380952381,0.7709973045822097,0.5547619047619048,0.7771739130434783,0.8333333333333334,0.25,5.333333333333333,0.6666666666666666,0.577054794520548,0.5475896168108776
CNN_DailyMail_Entry_64.txt,0.6013986013986014,0.8044680851063833,0.5454545454545454,0.6744186046511628,0.13333333333333333,0.06666666666666667,1.6666666666666667,1.3333333333333333,0.6324324324324324,0.796923076923077
CNN_DailyMail_Entry_31.txt,0.44042553191489364,0.7881235154394316,0.5425531914893617,0.7681159420289855,1.380952380952381,0.47619047619047616,4.666666666666667,4.0,0.49883177570093457,0.5552486187845304
CNN_DailyMail_Entry_50.txt,0.5330396475770925,0.7935955056179772,0.5198237885462555,0.71900826446281,0.7857142857142857,0.14285714285714285,3.0,0.5,0.6735218508997429,0.7012195121951219
CNN_DailyMail_Entry_95.txt,0.44372294372294374,0.7934624697336549,0.512987012987013,0.7268292682926829,1.4285714285714286,0.39285714285714285,4.0,1.0,0.6208,0.5909090909090909
